cat_code,country,county,f_class,f_code,gid,lat,lon,name,state
US.FL.101,US,101,P,PPLA2,4152695,28.364720000000002,-82.19592,Dade City,FL
US.FL.131,US,131,P,PPLA2,4152888,30.721020000000003,-86.11522,DeFuniak Springs,FL
US.FL.127,US,127,P,PPLA2,4152890,29.02832,-81.30311999999999,DeLand,FL
US.FL.027,US,27,A,ADM2,4152927,27.186320000000002,-81.8093,DeSoto County,FL
US.FL.029,US,29,A,ADM2,4153352,29.58124,-83.18703000000001,Dixie County,FL
US.FL.031,US,31,A,ADM2,4153840,30.335440000000002,-81.64801,Duval County,FL
US.FL.033,US,33,A,ADM2,4154550,30.6144,-87.34136,Escambia County,FL
US.FL.089,US,89,P,PPLA2,4155006,30.66968,-81.46259,Fernandina Beach,FL
US.FL.035,US,35,A,ADM2,4155535,29.47115,-81.29299,Flagler County,FL
US.FL.011,US,11,P,PPLA2,4155966,26.12231,-80.14338000000001,Fort Lauderdale,FL
US.FL.071,US,71,P,PPLA2,4155995,26.621679999999998,-81.84059,Fort Myers,FL
US.FL.111,US,111,P,PPLA2,4156018,27.446709999999996,-80.32561,Fort Pierce,FL
