name,latitude,longitude,state,admin2_code,geonameid
Gibson County,38.31183,-87.58459,IN,051,4257948
Greene County,39.03633,-86.96205,IN,055,4258280
Hancock County,39.82355,-85.77324,IN,059,4258477
Harrison County,38.19512,-86.11131,IN,061,4258587
Hendricks County,39.76952,-86.50998,IN,063,4258778
Henry County,39.93104,-85.39644,IN,065,4258792
Jackson County,38.90642,-86.03754,IN,071,4259572
Jefferson County,38.78582,-85.43857,IN,077,4259654
Jennings County,38.99693,-85.62806,IN,079,4259679
Johnson County,39.48997,-86.10164,IN,081,4259727
Knox County,38.68909,-87.41801,IN,083,4259986
Lawrence County,38.84116,-86.48345,IN,093,4260213
Marion County,39.78171,-86.13847,IN,097,4260977
Martin County,38.70801,-86.80307,IN,101,4261020
Monroe County,39.16092,-86.52314,IN,105,4261526
Morgan County,39.48155,-86.44621,IN,109,4261598
Ohio County,38.9501,-84.96503,IN,115,4262462
Orange County,38.54178,-86.49507,IN,117,4262595
Owen County,39.31281,-86.83765,IN,119,4262691
Parke County,39.77363,-87.20636,IN,121,4262785
Perry County,38.07965,-86.63803,IN,123,4262934
Pike County,38.39878,-87.23216,IN,125,4263024
Posey County,38.02189,-87.86847,IN,129,4263298
Putnam County,39.66626,-86.845,IN,133,4263451
Ripley County,39.10345,-85.26239,IN,137,4263732
Rush County,39.61995,-85.46576,IN,139,4263953
Scott County,38.68507,-85.74747,IN,143,4264540
Shelby County,39.52369,-85.7917,IN,145,4264684
Spencer County,38.01406,-87.00771,IN,147,4265152
Sullivan County,39.08883,-87.41469,IN,153,4265509
Switzerland County,38.82616,-85.037,IN,155,4265618
Union County,39.62555,-84.92514,IN,161,4266110
Vanderburgh County,38.02514,-87.58578,IN,163,4266235
Vermillion County,39.8538,-87.46397,IN,165,4266252
Vigo County,39.43064,-87.38996,IN,167,4266295
Warrick County,38.09217,-87.27205,IN,173,4266579
Washington County,38.59998,-86.10531,IN,175,4266588
Wayne County,39.86442,-85.00988,IN,177,4266673
Allen County,37.88573,-95.30139,KS,001,4267492
Anderson County,38.2142,-95.29333,KS,003,4267572
Atchison County,39.53174,-95.31344,KS,005,4267734
Barber County,37.22884,-98.68479,KS,007,4267902
Barton County,38.47896,-98.75646,KS,009,4267938
Bourbon County,37.85523,-94.8493,KS,011,4268552
Brown County,39.8265,-95.56422,KS,013,4268687
Butler County,37.78127,-96.83907,KS,015,4268899
Chase County,38.30205,-96.59393,KS,017,4269424
Chautauqua County,37.15006,-96.24538,KS,019,4269433
Cherokee County,37.16931,-94.84627,KS,021,4269459
Clark County,37.23552,-99.82031,KS,025,4269620
Clay County,39.34971,-97.16517,KS,027,4269648
Cloud County,39.4803,-97.64928,KS,029,4269744
Coffey County,38.23684,-95.73411,KS,031,4269788
Comanche County,37.19128,-99.27187,KS,033,4269851
Cowley County,37.23775,-96.83749,KS,035,4270053
Crawford County,37.50732,-94.85181,KS,037,4270088
Dickinson County,38.8665,-97.1527,KS,041,4270394
Doniphan County,39.78808,-95.14679,KS,043,4270436
Douglas County,38.88466,-95.29261,KS,045,4270450
Edwards County,37.88765,-99.31217,KS,047,4270841
Elk County,37.45369,-96.24409,KS,049,4270898
Ellis County,38.91475,-99.31723,KS,051,4270937
Ellsworth County,38.69663,-98.20473,KS,053,4270946
Ford County,37.6917,-99.88794,KS,057,4271650
Franklin County,38.56452,-95.28595,KS,059,4271771
Geary County,39.00236,-96.75254,KS,061,4272003
Graham County,39.34972,-99.88325,KS,065,4272234
Greenwood County,37.87779,-96.23264,KS,073,4272434
Harper County,37.1916,-98.0755,KS,077,4272662
Harvey County,38.04322,-97.42727,KS,079,4272705
Hodgeman County,38.08748,-99.89794,KS,083,4273049
Jackson County,39.41682,-95.79366,KS,085,4273514
Jefferson County,39.23576,-95.38345,KS,087,4273563
Jewell County,39.78473,-98.21834,KS,089,4273605
Johnson County,38.88376,-94.82226,KS,091,4273638
Kingman County,37.55888,-98.13633,KS,095,4273980
Kiowa County,37.55826,-99.28605,KS,097,4274001
Labette County,37.19133,-95.29758,KS,099,4274089
Leavenworth County,39.19932,-95.0379,KS,103,4274307
Lincoln County,39.04533,-98.2077,KS,105,4274455
Linn County,38.21227,-94.84293,KS,107,4274536
Lyon County,38.45619,-96.15264,KS,111,4274916
Marion County,38.35887,-97.09689,KS,115,4275073
Marshall County,39.78362,-96.52294,KS,117,4275111
McPherson County,38.39167,-97.64808,KS,113,4275266
Miami County,38.56358,-94.83806,KS,121,4275428
Mitchell County,39.39327,-98.20936,KS,123,4275635
Montgomery County,37.19252,-95.74288,KS,125,4275684
Morris County,38.68743,-96.64985,KS,127,4275742
Nemaha County,39.78345,-96.0141,KS,131,4276120
Neosho County,37.55849,-95.30679,KS,133,4276136
Ness County,38.47942,-99.91618,KS,135,4276164
Norton County,39.78439,-99.90348,KS,137,4276454
Osage County,38.65233,-95.72695,KS,139,4276754
Osborne County,39.35033,-98.76799,KS,141,4276786
